"name", "pais"
"Lithuania", "Lituânia"
"Luxembourg", "Luxemburgo"
"Lybia", "Líbia"
"Macedonia", "Macedônia"
"Madagascar", "Madagascar"
"Malaysia", "Malásia"
"Malawi", "Malaui"
"Maldives", "Maldivas"
"Mali", "Máli"
"Malta", "Malta"
"Mauritius", "Maurício"
"Mauritia", "Mauritânia"
"Marshall Island", "Ilhas Marshall"
"Micronesia/Federated States of Micronesia", "Estados Federados da Micronésia"
"Mexico", "México"
"Morocco", "Marrocos"
"Moldova", "Moldavia"
"Monaco", "Mônaco"
"Mongolia", "Mongólia"
"Montenegro", "Montenegro"
"Mozambique", "Moçambique"
"Myanmar", "Myanmar"
"Namibia", "Namíbia"
"Nauru", "Nauru"
"Nepal", "Nepal"
"New Zealand", "Nova Zelândia"
"Nicaragua", "Nicarágua"
"Niger", "Níger"
"Nigeria", "Nigéria"
"Niue", "Niue"
"North Korea", "Coréia do Norte"
"Norway", "Noruega"
"Oman", "Omã"
"Palestine", "Palestina"
"Pakistan", "Paquistão"
"Palau", "Palau"
"Panama", "Panamá"
"Papua New Guinea", "Papua Nova Guiné"
"Paraguay", "Paraguai"
"Peru", "Peru"
"Philippines", "Philippines"
"Poland", "Polônia"
"Portugal", "Portugal"
"Qatar", "Catar"
"Romania", "Romênia"
"Russia", "Rússia"
"Rwanda", "Ruanda"
"Samoa", "Samoa"
"Saint Lucia", "Santa Lúcia"
"Saint Kitts and Nevis", "São Cristóvão e Nevis"
"San Marino", "São Marino"
"Sao Tomé and Principe", "São Tomé e Príncipe"
"Saint Vincent and the Grenadines", "São Vicente e Granadinas"
"Scotland", "Escócia"
"Senegal", "Senegal"
"Serbia", "Sérvia"
"Seychelles", "Seicheles"
"Sierra Leone", "Serra Leoa"
"Singapore", "Singapura"
"Slovakia", "Eslováquia"
"Solomon Islands", "Ilhas Salomão"
"Somalia", "Somália"
"South Africa", "África do Sul"
"South Korea", "Coréia do Sul"
"South Sudan", "Sudão do Sul"
"Spain", "Espanha"
"Sri Lanka", "Sri Lanka"
"Sudan", "Sudão"
"Suriname", "Suriname"
"Swaziland", "Suazilândia"
"Sweden", "Suécia"
"Switzerland", "Suíça"
"Syria", "Síria"
"Tajikistan", "Tadiquistão"
"Tanzania", "Tanzânia"
"Thailand", "Tailândia"
"Togo", "Togo"
"Tonga", "Tonga"
"Trinidad and Tobago", "Trindade e Tobago"
"Tunisia", "Tunísia"
"Turkmenistan", "Turcomenistão"
"Turkey", "Turquia"
"Tuvalu", "Tuvalu"
"Ukraine", "Ucrânia"
"Uganda", "Uganda"
"Uruguay", "Uruguai"
"United Arab Emirates", "Emirados Árabes Unidos"
"United Kingdom", "Reino Unido"
"United States of America", "Estados Unidos"
"Uzbekistan", "Usbequistão"
"Vanuatu", "Vanuatu"
"Venezuela", "Venezuela"
"Vietnam", "Vietnã"
"Wales", "País de Gales"
"Yemen", "Iêmen"
"Zambia", "Zâmbia"
"Zimbabwe", "Zimbábue"
